SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T13:15:20.549Z
sessionDurationMs,108941
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
3,107,27,94254,timeout,up,0,800,800,0,up,congruent
3,108,28,95220,up,up,1,632,632,0,left,incongruent
3,109,29,96003,down,down,1,663,663,0,down,congruent
3,110,30,96820,down,down,1,578,578,0,right,incongruent
3,111,31,97553,right,right,1,542,542,0,right,congruent
3,112,32,98253,down,down,1,539,539,0,right,incongruent
3,113,33,98953,left,left,1,732,732,0,up,incongruent
3,114,34,99837,timeout,up,0,800,800,0,left,incongruent
3,115,35,100804,down,down,1,523,523,0,down,congruent
3,116,36,101486,right,right,1,713,713,0,left,incongruent
3,117,37,102353,right,right,1,507,507,0,right,congruent
3,118,38,103021,right,right,1,433,433,0,right,congruent
3,119,39,103604,left,left,1,574,574,0,left,congruent
3,120,40,104336,down,down,1,690,690,0,up,incongruent
