trialIndexGlobal,timestampMs,mouseX,mouseY
1,84445,774,553
1,84561,774,553
1,84678,833,547
1,84794,866,447
1,84910,831,407
1,85027,750,350
1,85143,744,345
1,85259,731,337
1,85376,729,338
1,85492,729,338
1,85608,729,338
1,85725,729,338
1,85825,729,338
1,85940,729,338
1,86041,729,338
1,86157,729,338
1,86273,729,338
1,86390,729,338
1,86506,729,338
1,86622,729,338
1,86738,729,338
1,86855,729,338
1,86971,768,348
1,87087,768,348
1,87204,768,348
1,87320,738,347
1,87436,699,387
1,87536,721,412
1,87653,730,409
1,87769,730,408
1,87885,765,448
1,88002,775,466
1,88118,786,473
1,88234,802,480
1,88351,819,481
1,88467,897,492
1,88583,899,492
1,88700,900,456
1,88800,890,378
1,88916,890,378
1,89032,890,395
1,89132,865,484
1,89248,835,532
1,89348,821,548
1,89464,790,582
1,89564,786,585
1,89601,786,585
2,89780,786,588
2,89897,786,588
2,90013,786,588
2,90129,786,588
2,90245,786,588
2,90361,786,588
2,90461,786,588
2,90578,786,588
2,90694,786,588
2,90810,786,588
2,90927,786,588
2,91043,786,579
2,91160,786,579
2,91260,786,579
2,91376,786,579
2,91492,786,579
2,91609,786,579
2,91725,786,579
2,91841,786,579
2,91958,786,579
2,92074,786,579
2,92190,786,579
2,92306,768,348
2,92423,768,348
2,92539,768,348
2,92655,665,286
2,92756,663,289
2,92871,651,345
2,92971,645,373
2,93087,645,379
2,93187,686,369
2,93304,727,320
2,93420,729,315
2,93536,660,236
2,93653,618,214
2,93769,617,214
2,93885,617,214
2,94002,789,215
2,94118,829,226
2,94218,870,242
2,94334,873,243
2,94434,877,241
2,94550,877,241
2,94650,877,241
2,94767,854,322
2,94883,788,447
2,95000,768,502
2,95115,761,558
2,95232,756,628
2,95348,756,628
2,95465,758,627
2,95581,767,601
2,95697,771,589
2,95720,771,589
3,95897,771,589
3,96013,771,589
3,96130,771,589
3,96246,771,589
3,96362,771,589
3,96479,771,589
3,96595,771,589
3,96711,771,589
3,96828,771,589
3,96944,771,589
3,97060,771,589
3,97177,771,589
3,97293,771,589
3,97409,771,589
3,97526,771,589
3,97642,771,589
3,97758,771,589
3,97875,771,589
3,97991,771,589
3,98107,771,589
3,98224,771,589
3,98340,771,587
3,98456,760,343
3,98573,760,340
3,98689,766,330
3,98806,760,361
3,98922,736,470
3,99038,736,472
3,99155,737,472
3,99271,797,489
3,99387,799,489
3,99504,814,451
3,99620,833,301
3,99736,827,278
3,99853,815,251
3,99969,815,248
3,100085,765,243
3,100202,617,230
3,100302,616,230
3,100418,616,230
3,100518,673,399
3,100634,741,554
3,100750,761,559
3,100867,762,548
3,100967,775,569
3,101083,776,572
3,101129,776,572
4,101299,785,589
4,101415,785,592
4,101531,785,592
4,101631,814,584
4,101748,812,568
4,101864,810,567
4,101980,810,567
4,102096,813,556
4,102213,813,513
4,102329,815,508
4,102446,815,508
4,102562,815,508
4,102678,815,508
4,102795,815,508
4,102911,815,508
4,103011,815,508
4,103127,815,508
4,103243,815,508
4,103343,815,508
4,103460,815,508
4,103576,815,508
4,103692,815,508
4,103809,768,348
4,103925,768,348
4,104041,768,348
4,104158,768,348
4,104274,672,240
4,104374,670,238
4,104490,669,237
4,104606,669,237
4,104723,699,309
4,104839,706,313
4,104955,709,314
4,105055,753,348
4,105172,767,368
4,105288,767,368
4,105404,775,392
4,105521,808,444
4,105637,808,444
4,105753,805,436
4,105870,805,430
4,105986,803,427
4,106102,790,420
4,106219,737,402
4,106335,726,400
4,106451,786,399
4,106568,809,396
4,106684,809,396
4,106800,768,440
4,106917,753,468
4,107050,749,471
4,107166,767,510
4,107282,800,584
4,107399,801,610
4,107464,801,610
5,107632,801,610
5,107748,801,610
5,107864,801,610
5,107981,801,610
5,108097,801,610
5,108213,801,610
5,108330,801,610
