SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T09:14:58.433Z
sessionDurationMs,578353
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,6000/6000/6000
itiMs,150
stimulusMs,1500
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx
2,28,8,274410,done,done,1,7118,4618,0,2,5,7,"4,4;0,4;2,0;0,3;0,2;2,3;3,3","2,3;3,3;4,4;0,4;0,3;0,2;2,0",7,0,0,1,809;1137;1569;2329;2657;2986;3608,0,578,158,76
2,29,9,281690,done,done,1,7894,5394,0,2,5,7,"3,1;4,2;4,4;4,1;2,1;4,0;1,0","4,4;1,0;2,1;3,1;4,1;4,0;4,2",7,0,0,1,848;1656;2233;2608;3002;3704;4432,1,578,158,76
2,30,10,289734,timeout,done,0,8500,6000,0,2,5,7,"2,1;1,2;4,3;2,0;2,4;0,2;4,0","2,4;4,3;4,0;0,2;1,2;2,1;2,0",7,0,0,1,852;1499;2115;3827;4132;4548;4931,1,578,158,76
2,31,11,298411,done,done,1,6717,4217,0,2,5,7,"2,1;3,2;4,3;4,1;3,3;1,2;1,0","1,0;2,1;1,2;4,1;3,2;3,3;4,3",7,0,0,1,824;1208;1623;2337;2966;3207;3543,0,578,158,76
2,32,12,305293,done,done,1,7420,4920,0,2,5,7,"1,4;3,2;3,4;4,0;0,1;4,4;2,4","1,4;2,4;3,4;4,4;3,2;4,0;0,1",7,0,0,1,701;1030;1341;1789;2504;3584;4142,0,578,158,76
2,33,13,312872,done,done,1,6592,4092,0,2,5,7,"4,4;2,3;4,3;3,2;4,2;1,2;2,2","1,2;2,2;3,2;4,2;4,3;4,4;2,3",7,0,0,1,692;1195;1523;1866;2258;2668;3138,0,578,158,76
2,34,14,319620,timeout,done,0,8500,6000,0,3,5,8,"1,1;3,1;0,3;4,2;3,4;0,2;4,0;1,3","3,4;1,3;0,3;0,1;0,2;1,1;4,0;3,1;4,2",8,0,1,1,750;1407;1872;2159;2743;3158;3870;4239;4574,0,578,158,76
2,35,15,328296,done,done,1,7080,4580,0,3,5,8,"2,3;3,2;1,1;4,2;2,0;3,4;2,1;2,4","3,4;2,4;2,3;1,1;2,1;2,0;3,2;4,2",8,0,0,1,801;1098;1403;1898;2273;2851;3401;3825,0,578,158,76
2,36,16,335527,done,done,1,8297,5797,0,3,5,8,"4,3;2,2;0,1;3,2;2,1;2,4;0,2;1,0","0,2;0,1;1,0;2,1;2,2;3,2;4,3;2,4",8,0,0,1,749;1067;1451;3492;3798;4124;4699;5155,0,578,158,76
2,37,17,343987,done,done,1,6807,4307,0,3,5,8,"4,4;2,4;1,4;2,1;4,3;1,1;1,2;4,2","1,2;1,1;2,1;4,2;4,3;4,4;1,4;2,4",8,0,0,1,680;1025;1311;1944;2272;2704;3392;3650,0,578,158,76
