SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-07T18:48:30.152Z
sessionDurationMs,256177
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
3,107,27,218176,right,right,1,707,707,0,right,congruent
3,108,28,219040,up,up,1,702,702,0,up,congruent
3,109,29,219905,up,up,1,461,461,0,up,congruent
3,110,30,220519,left,left,1,657,657,0,left,congruent
3,111,31,221334,left,left,1,424,424,0,left,congruent
3,112,32,221933,up,up,1,755,755,0,left,incongruent
3,113,33,222846,down,down,1,726,726,0,down,congruent
3,114,34,223728,up,up,1,662,662,0,up,congruent
3,115,35,224541,up,up,1,790,790,0,down,incongruent
3,116,36,225489,timeout,down,0,800,800,0,down,congruent
3,117,37,226470,left,left,1,593,593,0,left,congruent
3,118,38,227218,up,up,1,674,674,0,down,incongruent
3,119,39,228049,right,left,-1,717,717,0,up,incongruent
3,120,40,228930,left,up,-1,464,464,0,up,congruent
