SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-07T21:31:29.944Z
sessionDurationMs,186745
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
3,107,27,144745,right,right,1,529,529,0,right,congruent
3,108,28,145427,right,right,1,612,612,0,left,incongruent
3,109,29,146191,left,left,1,701,701,0,right,incongruent
3,110,30,147056,left,left,1,601,601,0,left,congruent
3,111,31,147820,up,up,1,617,617,0,up,congruent
3,112,32,148601,timeout,right,0,800,800,0,up,incongruent
3,113,33,149582,timeout,down,0,800,800,0,left,incongruent
3,114,34,150563,right,right,1,724,724,0,right,congruent
3,115,35,151444,left,down,-1,689,689,0,down,congruent
3,116,36,152291,down,left,-1,546,546,0,up,incongruent
3,117,37,152990,timeout,up,0,800,800,0,down,incongruent
3,118,38,153970,up,up,1,676,676,0,left,incongruent
3,119,39,154801,timeout,down,0,800,800,0,right,incongruent
3,120,40,155782,timeout,up,0,800,800,0,up,congruent
