SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-07T18:56:58.699Z
sessionDurationMs,497308
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,6000/6000/6000
itiMs,150
stimulusMs,1500
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx
2,28,8,205394,done,done,1,6419,3919,0,2,5,7,"3,4;3,2;0,0;4,3;0,3;1,3;3,1","3,4;4,3;3,2;3,1;0,3;1,3;0,0",7,0,0,1,749;1070;1478;1726;2366;2590;3136,0,578,158,76
2,29,9,211976,done,done,-1,6629,4129,0,2,5,7,"3,2;3,4;1,0;3,0;2,2;1,2;0,0","3,4;3,0;1,0;0,0;1,3;1,2;2,2;3,2",7,0,1,1,743;1359;1777;2160;2664;3121;3344;3618,0,578,158,76
2,30,10,218757,done,done,1,7259,4759,0,2,5,7,"1,1;4,2;0,4;0,0;2,0;3,1;1,4","0,4;1,4;4,2;3,1;2,0;0,0;1,1",7,0,0,1,818;1049;2522;2804;3114;3642;3923,0,578,158,76
2,31,11,226170,done,done,1,6611,4111,0,2,5,7,"4,4;1,4;0,0;1,1;4,1;4,0;1,3","4,4;4,1;4,0;1,1;0,0;1,4;1,3",7,0,0,1,884;1349;1661;2205;2477;3119;3653,0,578,158,76
2,32,12,232935,done,done,-1,7719,5219,0,2,5,7,"2,0;0,0;3,4;1,2;4,2;2,4;0,2","2,3;1,4;3,4;2,4;1,2;0,2;0,0;1,0;4,2",6,1,3,0.857,561;1296;1681;1938;2603;2825;3264;3808;4417,0,578,158,76
2,33,13,240813,done,done,1,6136,3636,0,2,5,7,"3,3;4,3;1,4;3,1;1,2;2,0;2,4","1,2;1,4;2,4;3,3;4,3;3,1;2,0",7,0,0,1,708;1186;1409;1818;2058;2506;2820,0,578,158,76
2,34,14,247113,done,done,-1,7484,4984,0,3,5,8,"3,2;0,1;4,2;3,0;4,0;1,3;0,0;3,4","3,2;4,2;3,0;4,0;0,1;0,0;2,3;3,4",7,1,1,0.875,543;878;1431;1678;2134;2382;3471;3918,1,578,158,76
2,35,15,254759,done,done,1,6911,4411,0,3,5,8,"4,2;4,3;0,4;2,3;2,1;0,2;3,1;3,3","2,3;3,3;4,3;4,2;3,1;2,1;0,2;0,4",8,0,0,1,568;891;1200;1513;1939;2208;3072;3829,1,578,158,76
2,36,16,261823,done,done,1,7726,5226,0,3,5,8,"1,4;0,1;4,0;1,1;4,3;3,0;1,3;3,4","3,4;4,3;1,4;1,3;0,1;1,1;3,0;4,0",8,0,0,1,767;1090;1625;1891;2296;2528;3080;3369,1,578,158,76
2,37,17,269702,done,done,1,6962,4462,0,3,5,8,"2,3;3,3;1,3;0,0;0,3;1,4;4,1;0,2","1,4;1,3;2,3;3,3;0,3;0,2;0,0;4,1",8,0,0,1,969;1340;1578;1867;2555;2820;3474;3993,0,578,158,76
