SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,goNogo
inputDevice,keyboard_space
phase,assessment
sessionStartUTC,2026-07-07T18:53:03.791Z
sessionDurationMs,174986
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,1500/1000/700
itiMs,150
trialsPerLevel,40
goRatio,0.6

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusColor,stimulusShape,isGoTargetColor,isGoTargetShape,sdtOutcome
3,81,1,119843,go,go,1,575,575,0,green,circle,1,1,hit
3,82,2,120574,go,go,1,451,451,0,red,triangle,1,1,hit
3,83,3,121206,go,go,1,376,376,0,red,triangle,1,1,hit
3,84,4,121738,go,go,1,489,489,0,green,circle,1,1,hit
3,85,5,122386,go,go,1,344,344,0,green,circle,1,1,hit
3,86,6,122884,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,87,7,123765,go,go,1,612,612,0,green,circle,1,1,hit
3,88,8,124529,go,go,1,510,510,0,blue,square,1,1,hit
3,89,9,125194,go,go,1,400,400,0,blue,square,1,1,hit
3,90,10,125759,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,91,11,126640,go,go,1,631,631,0,blue,square,1,1,hit
3,92,12,127421,go,go,1,569,569,0,red,triangle,1,1,hit
3,93,13,128153,go,go,1,474,474,0,green,circle,1,1,hit
3,94,14,128785,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,95,15,129665,go,nogo,-1,380,380,0,blue,circle,1,1,falseAlarm
3,96,16,130197,go,go,1,492,492,0,green,circle,1,1,hit
3,97,17,130846,nogo,nogo,1,700,700,0,blue,triangle,1,1,correctRejection
3,98,18,131726,go,go,1,457,457,0,blue,square,1,1,hit
3,99,19,132341,go,go,1,368,368,0,blue,square,1,1,hit
3,100,20,132874,go,go,1,507,507,0,green,circle,1,1,hit
3,101,21,133538,go,nogo,-1,565,565,0,blue,triangle,1,1,falseAlarm
3,102,22,134253,go,go,1,377,377,0,red,triangle,1,1,hit
3,103,23,134785,nogo,go,-1,700,700,0,blue,square,1,1,miss
3,104,24,135666,go,go,1,690,690,0,red,triangle,1,1,hit
3,105,25,136514,go,nogo,-1,374,374,0,red,circle,1,1,falseAlarm
3,106,26,137045,nogo,nogo,1,700,700,0,blue,circle,1,1,correctRejection
3,107,27,137926,nogo,nogo,1,700,700,0,green,square,1,1,correctRejection
3,108,28,138807,go,nogo,-1,392,392,0,green,triangle,1,1,falseAlarm
3,109,29,139356,nogo,nogo,1,700,700,0,green,triangle,1,1,correctRejection
3,110,30,140236,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,111,31,141117,go,nogo,-1,590,590,0,green,square,1,1,falseAlarm
3,112,32,141865,go,nogo,-1,557,557,0,blue,circle,1,1,falseAlarm
3,113,33,142580,nogo,nogo,1,700,700,0,blue,triangle,1,1,correctRejection
3,114,34,143461,nogo,go,-1,700,700,0,red,triangle,1,1,miss
3,115,35,144342,go,go,1,473,473,0,red,triangle,1,1,hit
3,116,36,144974,go,go,1,467,467,0,green,circle,1,1,hit
3,117,37,145605,go,go,1,494,494,0,blue,square,1,1,hit
3,118,38,146254,go,go,1,340,340,0,blue,square,1,1,hit
3,119,39,146752,go,nogo,-1,568,568,0,green,triangle,1,1,falseAlarm
3,120,40,147484,go,go,1,549,549,0,red,triangle,1,1,hit
