SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-09T08:52:45.264Z
sessionDurationMs,107986
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
3,107,27,93351,down,down,1,752,752,0,down,congruent
3,108,28,94269,up,up,1,782,782,0,right,incongruent
3,109,29,95203,up,up,1,490,490,0,up,congruent
3,110,30,95852,down,down,1,671,671,0,down,congruent
3,111,31,96685,up,up,1,476,476,0,up,congruent
3,112,32,97318,left,left,1,537,537,0,left,congruent
3,113,33,98018,up,up,1,653,653,0,left,incongruent
3,114,34,98835,right,right,1,566,566,0,right,congruent
3,115,35,99551,right,right,1,428,428,0,right,congruent
3,116,36,100134,down,down,1,799,799,0,up,incongruent
3,117,37,101084,right,right,1,705,705,0,right,congruent
3,118,38,101951,left,down,-1,723,723,0,right,incongruent
3,119,39,102835,left,left,1,606,606,0,left,congruent
3,120,40,103602,down,down,1,724,724,0,down,congruent
