SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-09T09:06:47.172Z
sessionDurationMs,279905
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
1,32,32,55201,deeppink_triangle,deeppink_triangle,1,1587,958,0,feature,21,deeppink_triangle,green_triangle,,20,0,629,452,265,458,254,12,target,0
1,33,33,56788,dimgray_cross,dimgray_cross,1,1598,884,0,feature,21,dimgray_cross,darkturquoise_cross,,20,0,714,810,571,816,548,24,target,0
1,34,34,58386,green_star,green_star,1,1593,807,0,feature,21,green_star,darkturquoise_star,,20,0,786,763,744,781,739,19,target,0
1,35,35,59979,purple_pentagon,purple_pentagon,1,1602,871,0,feature,21,purple_pentagon,darkturquoise_pentagon,,20,0,731,678,238,670,234,9,target,0
1,36,36,61582,purple_ring,purple_ring,1,1346,733,0,feature,21,purple_ring,darkturquoise_ring,,20,0,613,410,724,404,736,13,target,0
1,37,37,62927,darkturquoise_triangle,darkturquoise_triangle,1,1527,837,0,feature,21,darkturquoise_triangle,dimgray_triangle,,20,0,690,441,651,439,644,8,target,0
1,38,38,64454,green_star,green_star,1,1443,767,0,feature,21,green_star,darkturquoise_star,,20,0,676,644,341,646,333,8,target,0
1,39,39,65898,red_circle,red_circle,1,1457,766,0,feature,21,red_circle,gold_circle,,20,0,691,984,542,974,540,10,target,0
1,40,40,67354,dimgray_cross,dimgray_cross,1,1972,1243,0,feature,21,dimgray_cross,green_cross,,20,0,729,399,725,424,714,27,target,0
2,41,1,74109,purple_ring,purple_ring,1,2415,1664,0,conjunction,21,purple_ring,gold_ring,purple_pentagon,13,7,751,1222,337,1203,339,19,target,0
2,42,2,76524,royalblue_hexagon,royalblue_hexagon,1,2817,2252,0,conjunction,21,royalblue_hexagon,deeppink_hexagon,royalblue_square,10,10,565,1229,444,1236,443,8,target,0
2,43,3,79341,deeppink_pentagon,deeppink_pentagon,1,3086,2286,0,conjunction,21,deeppink_pentagon,darkorange_pentagon,deeppink_circle,13,7,800,447,237,462,246,18,target,0
2,44,4,82427,timeout,darkorange_semicircle,0,4707,4000,0,conjunction,21,darkorange_semicircle,red_semicircle,darkorange_triangle,13,7,707,842,731,-1,-1,-1,timeout,2
2,45,5,87153,darkorange_semicircle,darkorange_semicircle,1,2062,1368,0,conjunction,21,darkorange_semicircle,gold_semicircle,darkorange_pentagon,13,7,694,790,278,792,258,20,target,0
2,46,6,89216,deeppink_star,deeppink_star,1,2321,1562,0,conjunction,21,deeppink_star,darkorange_star,deeppink_semicircle,11,9,759,731,734,735,713,21,target,0
2,47,7,91536,saddlebrown_square,saddlebrown_square,1,1970,1448,0,conjunction,21,saddlebrown_square,deeppink_square,saddlebrown_star,11,9,522,1206,242,1210,238,5,target,0
2,48,8,93507,gold_triangle,gold_triangle,1,2879,2222,0,conjunction,21,gold_triangle,purple_triangle,gold_hexagon,12,8,657,1241,285,1243,282,3,target,0
2,49,9,96385,red_circle,red_circle,1,2301,1657,0,conjunction,21,red_circle,deeppink_circle,red_square,13,7,644,955,342,957,354,13,target,0
2,50,10,98686,royalblue_semicircle,royalblue_semicircle,1,2239,1660,0,conjunction,21,royalblue_semicircle,purple_semicircle,royalblue_triangle,12,8,579,747,629,766,611,26,target,0
2,51,11,100925,darkturquoise_diamond,dimgray_diamond,-1,1884,1217,0,conjunction,21,dimgray_diamond,darkturquoise_diamond,dimgray_hexagon,12,8,667,802,406,1075,423,274,distractor,0
2,52,12,102809,timeout,darkorange_circle,0,4691,4000,0,conjunction,21,darkorange_circle,dimgray_circle,darkorange_semicircle,10,10,691,514,775,-1,-1,-1,timeout,0
2,53,13,107520,green_ring,green_ring,1,2331,1650,0,conjunction,21,green_ring,dimgray_ring,green_star,13,7,681,682,523,688,523,6,target,0
2,54,14,109851,red_diamond,red_triangle,-1,3655,3127,0,conjunction,21,red_triangle,purple_triangle,red_diamond,11,9,528,439,749,859,570,456,distractor,0
2,55,15,113506,darkorange_triangle,darkorange_triangle,1,2473,1936,0,conjunction,21,darkorange_triangle,gold_triangle,darkorange_star,12,8,537,623,472,619,485,14,target,0
2,56,16,115979,dimgray_star,dimgray_star,1,3111,2389,0,conjunction,21,dimgray_star,gold_star,dimgray_triangle,13,7,722,424,373,417,366,10,target,0
2,57,17,119090,saddlebrown_hexagon,saddlebrown_hexagon,1,2561,1897,0,conjunction,21,saddlebrown_hexagon,red_hexagon,saddlebrown_star,12,8,664,963,686,965,672,14,target,0
2,58,18,121651,purple_cross,purple_cross,1,3095,2411,0,conjunction,21,purple_cross,royalblue_cross,purple_square,13,7,684,1016,715,994,721,23,target,0
2,59,19,124746,dimgray_ring,dimgray_ring,1,1952,1424,0,conjunction,21,dimgray_ring,darkturquoise_ring,dimgray_diamond,12,8,528,908,500,925,504,18,target,0
2,60,20,126698,green_hexagon,green_hexagon,1,2619,2016,0,conjunction,21,green_hexagon,royalblue_hexagon,green_triangle,11,9,603,359,548,382,535,26,target,0
2,61,21,129317,gold_star,gold_cross,-1,3428,2813,0,conjunction,21,gold_cross,purple_cross,gold_star,10,10,615,479,331,474,407,77,distractor,0
